artist,id,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
Selena Gomez,3PVor2DGqdPBqGNcQX60fD,0.462,0.0737,0.613,0.86,0,0.172,0.0485
Selena Gomez,7qjWYlQwqMwgxJb2PbFXhU,0.537,0.0712,0.597,0.657,0,0.255,0.0701
Selena Gomez,3M2qUQc1KQSghFeSri331i,0.419,0.00494,0.642,0.839,0,0.542,0.0457
Selena Gomez,7G2Yf3MyVeDRTPZjabVzZ4,0.662,0.08,0.715,0.812,0,0.618,0.212
Selena Gomez,5L6djPpXEWI42IArB0Gd0F,0.26,0.00346,0.443,0.886,0,0.111,0.0921
Selena Gomez,1XVZyHyK0qtale8j68yLJr,0.935,0.0736,0.705,0.903,0,0.185,0.118
Selena Gomez,0vP4UeiO80BV4LOQgqTfVE,0.573,0.0101,0.546,0.787,0.00021,0.0809,0.0517
Selena Gomez,1CSC8A0Z1zEWci0FPzBqjc,0.229,0.178,0.507,0.959,2.22e-05,0.0746,0.172
Selena Gomez,1RXciu3xhtc7etrZrCo3Ou,0.531,0.00115,0.666,0.836,2.22e-05,0.132,0.036
Selena Gomez,26Ar4nrJmh5Mps5NjTwmvB,0.665,0.0131,0.894,0.597,0.00138,0.0969,0.0524
Selena Gomez,4s08vOpoRhkLZfMsACvH5a,0.379,0.00415,0.629,0.755,1.11e-05,0.207,0.0466
Selena Gomez,5WudHjVskOfCIiME9YizKV,0.734,0.0148,0.633,0.683,0.00028,0.129,0.119
Selena Gomez,0mL0LFUwNwNRcmbC8mnlYX,0.33,0.0132,0.634,0.956,0,0.0935,0.152
Selena Gomez & The Scene,6mAFuLOZtcCGaRvv5EvoYf,0.925,0.075,0.858,0.678,0,0.0757,0.0466
Selena Gomez & The Scene,3k4Dv8vhDhbwQjMUaPZUZd,0.867,0.233,0.775,0.751,1.55e-06,0.0934,0.0361
Selena Gomez & The Scene,5Xlc9p4TSjJVQkcBQPgjDm,0.769,0.0691,0.683,0.926,0,0.201,0.0459
Selena Gomez & The Scene,4FfiBw3TvphwgMW9ckwzez,0.515,0.00241,0.728,0.742,3.6e-06,0.0574,0.0361
Selena Gomez & The Scene,2dgFmyv28sREXG8P9GNUdf,0.634,0.0985,0.556,0.886,0,0.299,0.0539
Selena Gomez & The Scene,4RJkmgqgl3kpZb3KkfcxZ6,0.461,0.0107,0.511,0.959,0.00133,0.0604,0.106
Selena Gomez & The Scene,67UtbfpXI98UZhdECBkp5Q,0.942,0.0865,0.679,0.793,0,0.0333,0.0784
Selena Gomez & The Scene,3lXvChw1qt2PurfDajhB8E,0.651,0.0681,0.614,0.866,0,0.186,0.0623
Selena Gomez & The Scene,3WiBC8NKvOZqil6LIcxXVL,0.442,0.0105,0.513,0.934,1.83e-05,0.0552,0.249
Selena Gomez & The Scene,2L1ucW7zT5MfQVkK58Kabf,0.704,0.122,0.648,0.786,0,0.0857,0.0346
Selena Gomez & The Scene,3LU1h4OKjhlSD2GpGnD5Zt,0.65,0.02,0.689,0.878,0,0.0964,0.046
Selena Gomez & The Scene,5ODTq3p9Woq41lZ3RlPjdQ,0.673,0.0845,0.666,0.936,0,0.195,0.0534
Selena Gomez & The Scene,4RkcHdZ749jz5ND98la9Hn,0.426,0.0705,0.665,0.795,2.65e-05,0.0783,0.0338
Selena Gomez & The Scene,3ZvaeLIraw0LKI80ziMM78,0.903,0.000221,0.646,0.934,0.103,0.323,0.0268
Selena Gomez & The Scene,0aas8sROQlsseX9q64Vh1A,0.901,0.000257,0.631,0.915,0.00756,0.187,0.0257
Selena Gomez & The Scene,7kQEHnsjOmz7w73HHUBMAm,0.95,0.004,0.582,0.782,0.0321,0.0604,0.0473
Selena Gomez & The Scene,3KGa4y7Aw7qfpq7up9I4tQ,0.833,1.55e-05,0.653,0.769,0.333,0.0314,0.0485
Selena Gomez & The Scene,4Brz4O2W9jBoty42cAQAIc,0.581,0.00297,0.612,0.803,0.587,0.105,0.0353
Selena Gomez & The Scene,5Grqm7tJAUtBMnuJtptK3x,0.796,0.00162,0.449,0.924,0.82,0.131,0.0301
Selena Gomez & The Scene,2i0HQpLRdwlp18ZrB7Zp81,0.349,0.00222,0.666,0.799,0.863,0.0932,0.0272
Selena Gomez & The Scene,5ea0gt3jWwTSYN3vs8xMQK,0.444,0.00135,0.57,0.632,0,0.352,0.0581
Selena Gomez & The Scene,4rs2DPWwzEBtjkyvtrgMo0,0.294,0.00293,0.35,0.84,0.000358,0.127,0.0345
Selena Gomez & The Scene,4jf9Mx0QpmG9AVgAcHYkGS,0.894,0.00335,0.637,0.96,0.493,0.226,0.0328
Selena Gomez & The Scene,0laYHRpNTS6i8FXdupHkJ4,0.922,0.0761,0.858,0.678,0,0.0741,0.0469
Selena Gomez & The Scene,1P5RYVvxPVrzonLqAC8uxk,0.834,0.234,0.77,0.766,4.13e-06,0.0921,0.0358
Selena Gomez & The Scene,3TcL0dyCMyr0kyTTc4NLgI,0.744,0.0843,0.682,0.927,0,0.149,0.0479
Selena Gomez & The Scene,5B744DBLnMa2vysNMOqb4s,0.467,0.00221,0.728,0.742,2.32e-05,0.0617,0.036
Selena Gomez & The Scene,6ciLLh4TkPYDUfNxn2Z0KO,0.573,0.115,0.56,0.88,0,0.299,0.0567
Selena Gomez & The Scene,7wifn3Yf5ksPDJOjao5Xhb,0.476,0.0106,0.58,0.959,0.0012,0.0603,0.0893
Selena Gomez & The Scene,3VrzcnYO6ITMKFl2HImfvU,0.89,0.0892,0.68,0.799,0,0.0353,0.0767
Selena Gomez & The Scene,5g3TKEDNVOviIisycRgo4H,0.655,0.0695,0.615,0.866,0,0.185,0.0621
Selena Gomez & The Scene,1PVv78GWjf9EMnUHjAUzLl,0.403,0.0107,0.513,0.926,3.81e-06,0.0499,0.25
Selena Gomez & The Scene,2SGMSZjsT9516hW4xyjykB,0.699,0.119,0.647,0.78,0,0.0936,0.0353
Selena Gomez & The Scene,2XH4CaV8UoJoIqLrL9l4Qj,0.639,0.0195,0.688,0.876,0,0.2,0.0482
